text_id,label,n_words_in_span,mean_saliency_in,mean_saliency_out,spearman_tfd_in_span,spearman_fc_in_span,js_model_span_type,checkpoint,method
video_04,JOKE,49,0.06105748640918135,0.0,,,0.7387868734624078,mrbert_full,saliency
video_04,IDEOLOGICAL AND INEQUALITY,29,0.10316609772585814,0.0,,,0.7387868734624078,mrbert_full,saliency
video_04,INEQUALITY\/DISCRIMINATION,24,0.0,0.08085991443378071,,,0.7387868734624078,mrbert_full,saliency
video_04,IRONY,12,0.0,0.06105748640918135,,,0.7387868734624078,mrbert_full,saliency
video_05,IRONY,86,0.011627906976744186,0.0,,,0.9542016542350434,mrbert_full,saliency
video_05,JOKE,53,0.018867924528301886,0.0,,,0.9542016542350434,mrbert_full,saliency
video_05,INEQUALITY\/DISCRIMINATION,86,0.011627906976744186,0.0,,,0.9542016542350434,mrbert_full,saliency
video_05,IDEOLOGICAL AND INEQUALITY,45,0.0,0.024390243902439025,,,0.9542016542350434,mrbert_full,saliency
video_05,IMPLICIT SEXISM,7,0.0,0.012658227848101266,,,0.9542016542350434,mrbert_full,saliency
video_30,INEQUALITY\/DISCRIMINATION,59,0.042053880877342444,0.0,-0.06788553042740704,0.08821664617982324,0.7652756299228488,mrbert_full,saliency
video_30,IRONY,59,0.042053880877342444,0.0,-0.06788553042740704,0.08821664617982324,0.7652756299228488,mrbert_full,saliency
video_30,JOKE,59,0.042053880877342444,0.0,-0.06788553042740704,0.08821664617982324,0.7652756299228488,mrbert_full,saliency
video_30,IDEOLOGICAL AND INEQUALITY,12,0.0,0.05279104195240859,,,0.7652756299228488,mrbert_full,saliency
video_106,IMPLICIT SEXISM,63,0.030040001606670225,0.0,0.2187958772494708,0.17562342168505196,0.8977717798408497,mrbert_full,saliency
video_106,STEREOTYPE,63,0.030040001606670225,0.0,0.2187958772494708,0.17562342168505196,0.8977717798408497,mrbert_full,saliency
video_107,IMPLICIT SEXISM,28,0.0,0.06781746206169682,,,0.8794047197103136,mrbert_full,saliency
video_107,INEQUALITY\/DISCRIMINATION,28,0.0,0.06781746206169682,,,0.8794047197103136,mrbert_full,saliency
video_327,STEREOTYPE,54,0.036774466423324985,0.0,0.1421432407047575,0.26627567691936826,0.8847418547423861,mrbert_full,saliency
video_327,IMPLICIT SEXISM,54,0.036774466423324985,0.0,0.1421432407047575,0.26627567691936826,0.8847418547423861,mrbert_full,saliency
video_373,STEREOTYPE,31,0.08630848759012891,0.0,-0.17389204932899488,-0.14995532900030484,0.8535270477385161,mrbert_full,saliency
video_373,INEQUALITY\/DISCRIMINATION,59,0.04534852737786434,0.0,-0.12758298043827582,-0.10574368110400142,0.8535270477385161,mrbert_full,saliency
video_375,STEREOTYPE,74,0.03826646161464693,0.0,0.17923026378747245,0.3083918523124575,0.8222966348407376,mrbert_full,saliency
video_375,IMPLICIT SEXISM,74,0.03826646161464693,0.0,0.17923026378747245,0.3083918523124575,0.8222966348407376,mrbert_full,saliency
video_375,IRONY,70,0.040453116564055334,0.0,0.2145311666727431,0.3397224695027301,0.8222966348407376,mrbert_full,saliency
video_375,INEQUALITY\/DISCRIMINATION,74,0.03826646161464693,0.0,0.17923026378747245,0.3083918523124575,0.8222966348407376,mrbert_full,saliency
video_383,STEREOTYPE,74,0.026956505153270475,0.0,-0.001767108297428739,-0.0017674359219374462,0.9098450505073221,mrbert_full,saliency
video_383,IMPLICIT SEXISM,37,0.0,0.05391301030654095,,,0.9098450505073221,mrbert_full,saliency
video_143,OBJECTIFICATION,44,0.022727272727272728,0.0,0.13816968865032075,0.19841849104930276,0.9730188943255537,mrbert_full,saliency
video_143,STEREOTYPE,45,0.022222222222222223,0.0,0.10452749388792273,0.16266269795836466,0.9730188943255537,mrbert_full,saliency
video_144,INEQUALITY\/DISCRIMINATION,85,0.011764705882352941,0.0,0.10692336725967674,0.12253378472602318,0.953761531974144,mrbert_full,saliency
video_144,STEREOTYPE,85,0.011764705882352941,0.0,0.10692336725967674,0.12253378472602318,0.953761531974144,mrbert_full,saliency
video_144,IMPLICIT SEXISM,64,0.0,0.047619047619047616,,,0.953761531974144,mrbert_full,saliency
video_148,STEREOTYPE,50,0.03476675308550953,0.0,0.20260128910945327,0.23509922492533813,0.9060524736182091,mrbert_full,saliency
video_148,INEQUALITY\/DISCRIMINATION,23,0.0,0.03698590753777609,,,0.9060524736182091,mrbert_full,saliency
video_148,IRONY,5,0.0,0.026743656219622713,,,0.9060524736182091,mrbert_full,saliency
video_148,OBJECTIFICATION,15,0.0,0.03160613916864502,,,0.9060524736182091,mrbert_full,saliency
video_148,IMPLICIT SEXISM,15,0.0,0.03160613916864502,,,0.9060524736182091,mrbert_full,saliency
video_150,STEREOTYPE,34,0.0,0.34187952131809457,,,0.5645155159294835,mrbert_full,saliency
video_150,INEQUALITY\/DISCRIMINATION,13,0.0,0.14244980054920606,,,0.5645155159294835,mrbert_full,saliency
video_151,INEQUALITY\/DISCRIMINATION,44,0.0,0.0,,,0.0,mrbert_full,saliency
video_201,STEREOTYPE,106,0.04384047029224438,0.0,0.08906540462756654,0.10318853051919151,0.8411168276475623,mrbert_full,saliency
video_201,IMPLICIT SEXISM,27,0.0,0.05882392216427727,,,0.8411168276475623,mrbert_full,saliency
video_201,OBJECTIFICATION,43,0.0,0.07376333096790325,,,0.8411168276475623,mrbert_full,saliency
video_356,INEQUALITY\/DISCRIMINATION,40,0.0628289649565274,0.0,0.15813010767569058,0.3389681942604229,0.8941005233976589,mrbert_full,saliency
video_356,IMPLICIT SEXISM,5,0.5026317196522192,0.0,0.6668859288553503,0.8720815992723809,0.8941005233976589,mrbert_full,saliency
video_357,INEQUALITY\/DISCRIMINATION,95,0.008113052582317419,0.0,-0.1129492892649397,-0.15639959777723395,0.957788854914895,mrbert_full,saliency
video_59,STEREOTYPE,56,0.015849196132780595,0.0,0.21283645198172974,0.22969851718749998,0.9351530779109262,mrbert_full,saliency
video_59,INEQUALITY\/DISCRIMINATION,56,0.015849196132780595,0.0,0.21283645198172974,0.22969851718749998,0.9351530779109262,mrbert_full,saliency
video_59,IRONY,56,0.015849196132780595,0.0,0.21283645198172974,0.22969851718749998,0.9351530779109262,mrbert_full,saliency
video_59,IMPLICIT SEXISM,56,0.015849196132780595,0.0,0.21283645198172974,0.22969851718749998,0.9351530779109262,mrbert_full,saliency
video_59,JOKE,56,0.015849196132780595,0.0,0.21283645198172974,0.22969851718749998,0.9351530779109262,mrbert_full,saliency
video_62,STEREOTYPE,64,0.05728847231594617,0.0,0.06378800509001115,0.18726026070343085,0.7045674399646661,mrbert_full,saliency
video_62,IRONY,8,0.0,0.06547253978965277,,,0.7045674399646661,mrbert_full,saliency
